Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2007-02-27T15:00:00Z,SPY,101.1987735,9,Market,Filled,910.7889615,"" 
2007-02-27T16:00:00Z,SPY,101.100098,9,Market,Filled,909.900882,"" 
2007-02-27T17:00:00Z,SPY,100.9168435,9,Market,Filled,908.2515915,"" 
2007-03-05T15:00:00Z,SPY,97.86495125,10,Market,Filled,978.6495125,"" 
2007-06-07T16:00:00Z,SPY,106.81502767,9,Market,Filled,961.33524903,"" 
2007-06-07T17:00:00Z,SPY,106.56736116,9,Market,Filled,959.10625044,"" 
2007-06-07T18:00:00Z,SPY,106.234780418,9,Market,Filled,956.113023762,"" 
2007-07-24T18:00:00Z,SPY,108.505309352,9,Market,Filled,976.547784168,"" 
2007-08-10T14:00:00Z,SPY,102.528562878,9,Market,Filled,922.757065902,"" 
2007-09-10T15:00:00Z,SPY,103.097099998,9,Market,Filled,927.873899982,"" 
2007-10-16T20:00:00Z,SPY,110.6764325,9,Market On Open,Filled,996.0878925,"" 
2007-11-12T15:00:00Z,SPY,103.985863645,9,Market,Filled,935.872772805,"" 
2007-12-13T15:00:00Z,SPY,105.628159095,9,Market,Filled,950.653431855,"" 
2008-01-14T15:00:00Z,SPY,100.963900635,9,Market,Filled,908.675105715,"" 
2008-02-22T16:00:00Z,SPY,95.852894787,10,Market,Filled,958.52894787,"" 
2008-03-14T14:00:00Z,SPY,92.909759397,10,Market,Filled,929.09759397,"" 
2008-04-14T14:00:00Z,SPY,96.08922792,10,Market,Filled,960.8922792,"" 
2008-05-21T19:00:00Z,SPY,100.81433635,9,Market,Filled,907.32902715,"" 
2008-05-21T20:00:00Z,SPY,100.583491358,9,Market On Open,Filled,905.251422222,"" 
2008-06-18T14:00:00Z,SPY,97.06310523,10,Market,Filled,970.6310523,"" 
2008-07-16T14:00:00Z,SPY,88.688161263,11,Market,Filled,975.569773893,"" 
2008-08-19T14:00:00Z,SPY,92.276867208,10,Market,Filled,922.76867208,"" 
2008-09-18T14:00:00Z,SPY,85.918695261,11,Market,Filled,945.105647871,"" 
2008-10-22T14:00:00Z,SPY,67.018088228,14,Market,Filled,938.253235192,"" 
2008-11-20T15:00:00Z,SPY,57.589909784,17,Market,Filled,979.028466328,"" 
2008-12-22T17:00:00Z,SPY,64.19593368,15,Market,Filled,962.9390052,"" 
2009-01-22T15:00:00Z,SPY,60.57926136,16,Market,Filled,969.26818176,"" 
2009-02-23T15:00:00Z,SPY,56.99934384,17,Market,Filled,968.98884528,"" 
2009-03-30T15:00:00Z,SPY,58.333295318,17,Market,Filled,991.666020406,"" 
2009-04-23T15:00:00Z,SPY,62.205400084,16,Market,Filled,995.286401344,"" 
2009-06-15T15:00:00Z,SPY,68.794641464,14,Market,Filled,963.124980496,"" 
2009-07-02T16:00:00Z,SPY,67.203326702,14,Market,Filled,940.846573828,"" 
2009-08-17T14:00:00Z,SPY,73.375668585,13,Market,Filled,953.883691605,"" 
